drivers_type,loss_year,loss_area_ha,gross_carbon_emissions_Mg
Logging,2001,10.45822671,4175.919748
Other natural disturbances,2001,0.384331263,115.6531705
Permanent agriculture,2001,211.587171,52406.6688
Settlements & Infrastructure,2001,0.076895307,17.56142028
Shifting cultivation,2001,0.076864675,16.23550408
Permanent agriculture,2002,59.97800956,15308.17093
Logging,2003,2.614472387,1036.585794
Other natural disturbances,2003,0.153717562,45.23226749
Permanent agriculture,2003,203.2788149,42301.44504
Shifting cultivation,2003,0.46116005,185.1586386
Logging,2004,2.998946055,1390.913798
Other natural disturbances,2004,0.153718196,33.89239631
Permanent agriculture,2004,31.67979419,10022.95184
Logging,2005,6.459076718,3095.698858
Other natural disturbances,2005,0.230643468,102.5705958
Permanent agriculture,2005,392.4925198,92024.89022
Settlements & Infrastructure,2005,0.153790899,36.1137819
Permanent agriculture,2006,28.21649731,7271.808284
Logging,2007,25.83759724,12626.14745
Other natural disturbances,2007,0.768936301,311.0520551
Permanent agriculture,2007,194.0831931,76480.31346
Logging,2008,0.692097864,371.9728476
Other natural disturbances,2008,0.768592741,333.6144101
Permanent agriculture,2008,23.29548262,5568.733041
Shifting cultivation,2008,12.45131058,5162.808993
Logging,2009,2.38381263,1329.187138
Other natural disturbances,2009,0.153714895,53.76479794
Permanent agriculture,2009,127.4033855,37630.69681
Shifting cultivation,2009,0.461164698,186.5065769
Logging,2010,19.22476953,10074.29376
Other natural disturbances,2010,0.076858889,25.53630726
Permanent agriculture,2010,138.3305234,70837.93629
Shifting cultivation,2010,15.60245256,6200.928664
Logging,2011,1.537954187,941.5972836
Other natural disturbances,2011,0.230596849,72.60868323
Permanent agriculture,2011,141.164606,46836.89724
Shifting cultivation,2011,0.691766825,210.5419454
Logging,2012,0.845845019,514.8553796
Other natural disturbances,2012,0.30742383,128.2487211
Permanent agriculture,2012,58.0535547,22680.34154
Shifting cultivation,2012,0.384266359,157.3176695
Logging,2013,3.537382868,2257.554685
Permanent agriculture,2013,19.76124945,9616.138008
Shifting cultivation,2013,0.922160986,390.398881
Logging,2014,5.767258221,4142.846077
Permanent agriculture,2014,11.22555961,4416.973847
Shifting cultivation,2014,0.076847514,33.22440582
Logging,2015,3.383362036,2707.553931
Permanent agriculture,2015,10.30334615,4483.462824
Shifting cultivation,2015,2.997085499,1234.57898
Logging,2016,15.91687034,13712.42239
Permanent agriculture,2016,16.45414103,8012.08411
Shifting cultivation,2016,2.228833987,889.9674008
Logging,2017,16.91699416,8050.003876
Other natural disturbances,2017,0.230567513,82.3620236
Permanent agriculture,2017,9.3040007,3861.909815
Shifting cultivation,2017,11.52857326,4784.653577
Logging,2018,14.99535907,11289.91
Permanent agriculture,2018,30.60377547,15805.17882
Shifting cultivation,2018,28.97299755,12931.13267
Logging,2019,10.22751096,8836.881734
Other natural disturbances,2019,0.461149943,160.8692123
Permanent agriculture,2019,6.305635587,3937.84942
Logging,2020,23.06942904,19321.1365
Other natural disturbances,2020,0.614867549,231.2534079
Permanent agriculture,2020,27.7591277,19043.32458
Shifting cultivation,2020,1.84454619,799.3020633
Logging,2021,8.151154392,5944.010724
Other natural disturbances,2021,0.768903593,346.5260253
Permanent agriculture,2021,6.536097783,4311.822616
Shifting cultivation,2021,0.0768585,32.42924564
Logging,2022,3.460304915,3265.101673
Permanent agriculture,2022,2.460517105,1614.452708
Logging,2023,28.91246757,19986.25676
Permanent agriculture,2023,23.68360839,13251.76511
Shifting cultivation,2023,1.152887754,451.2088255
Logging,2024,33.29670955,28730.56983
Permanent agriculture,2024,56.21010628,41669.26158
Shifting cultivation,2024,2.99741527,1347.208257
